,CurrentClinicName1,CurrentClinicCity,CurrentClinicState,Year,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,Donor_TransLB2,Donor_TransLB3,ReasonTubal,ReasonOvul,ReasonDOR,ReasonEndo,ReasonUterine,ReasonMale,ReasonOtherInfert,TransPGT1,TransPGT2,TransPGT3,TransPGT4
464,"FERTILITY TREATMENT CENTER, PC",TEMPE,ARIZONA,2018,66,55,57,38,54.5%,36.4%,24.6%,7.9%,3.9%,11.3%,15.1%,5.6%,,50.0%,6%,18%,38%,<1%,4%,24%,7%,13.8%,14.6%,11.1%,5.4%
465,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,TUCSON,ARIZONA,2018,59,27,32,11,47.5%,33.3%,12.5%,* / 11,0.0%,0.0%,2.5%,0 / 12,,* / 12,19%,23%,6%,14%,3%,31%,6%,1.1%,6.1%,0.0%,0 / 11
466,ARIZONA REPRODUCTIVE INSTITUTE,TUCSON,ARIZONA,2018,85,41,34,18,54.1%,51.2%,26.5%,5 / 18,4.4%,9.6%,13.5%,9.3%,,8 / 15,5%,9%,24%,6%,1%,18%,34%,24.2%,59.2%,52.0%,6 / 18
467,REPRODUCTIVE HEALTH CENTER,TUCSON,ARIZONA,2018,48,22,18,21,50.0%,18.2%,* / 18,4.8%,2.1%,1.3%,7.1%,4.8%,* / 7,* / 18,12%,5%,9%,11%,8%,18%,10%,83.3%,76.5%,75.9%,13 / 17
468,ARKANSAS FERTILITY CENTER,LITTLE ROCK,ARKANSAS,2018,112,30,28,5,46.4%,26.7%,21.4%,0 / 5,9.9%,8.1%,13.6%,* / 11,,* / 11,20%,4%,27%,15%,3%,18%,2%,0.8%,5.4%,10.3%,0 / 8
469,LIFESTART FERTILITY CENTER,AGOURA HILLS,CALIFORNIA,2018,8,*,*,*,* / 8,0 / *,0 / *,0 / *,0 / *,0 / 9,* / *,,,,7%,33%,7%,13%,0%,27%,53%,0 / *,* / *,* / *,
470,ALTA BATES IN VITRO FERTILIZATION PROGRAM,BERKELEY,CALIFORNIA,2018,5,9,10,*,* / 5,* / 9,* / 10,0 / *,* / 18,0.0%,0 / 15,0 / 10,,5 / 8,0%,5%,6%,1%,6%,23%,48%,5 / 7,7 / 10,* / 12,* / *
471,CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,BEVERLY HILLS,CALIFORNIA,2018,13,11,10,5,7 / 13,* / 11,* / 10,* / 5,3.2%,0.0%,5.7%,* / 15,,* / 5,3%,7%,57%,3%,0%,50%,55%,* / 16,* / 15,* / 10,* / 8
472,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,BEVERLY HILLS,CALIFORNIA,2018,195,116,119,63,33.8%,34.5%,21.0%,15.9%,5.3%,9.8%,8.5%,12.0%,0 / *,63.6%,<1%,<1%,3%,<1%,<1%,2%,2%,90.6%,83.6%,86.5%,89.1%
473,FERTILITY CARE OF ORANGE COUNTY,BREA,CALIFORNIA,2018,47,34,35,15,59.6%,38.2%,28.6%,* / 15,4.6%,11.8%,17.0%,3.8%,,66.7%,12%,1%,31%,1%,3%,23%,1%,97.2%,84.6%,95.0%,10 / 11
474,CENTRAL CALIFORNIA IVF PROGRAM,CLOVIS,CALIFORNIA,2018,72,37,30,9,58.3%,48.6%,30.0%,0 / 9,8.4%,16.8%,15.3%,* / 18,* / 7,* / 13,18%,12%,35%,4%,1%,26%,11%,12.6%,17.2%,14.3%,0 / 13
475,CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,ENCINITAS,CALIFORNIA,2018,18,8,10,*,9 / 18,* / 8,* / 10,0 / *,0.0%,2.9%,4.0%,0 / 7,,50.0%,4%,5%,37%,4%,2%,14%,11%,95.0%,17 / 18,10 / 14,* / *
476,"THE FERTILITY INSTITUTES-LOS ANGELES, NEW YORK, GUADALAJARA",ENCINO,CALIFORNIA,2018,0,0,0,0,,,,,3.5%,0.0%,0.0%,0 / 5,,,0%,0%,0%,1%,0%,2%,4%,92.9%,100.0%,73.9%,* / 5
477,HRC FERTILITY-ENCINO,ENCINO,CALIFORNIA,2018,115,86,167,61,50.4%,46.5%,15.0%,6.6%,3.9%,9.4%,6.0%,10.3%,5 / 11,45.0%,3%,1%,35%,3%,4%,19%,30%,63.4%,71.9%,70.5%,63.9%
478,LOS ANGELES REPRODUCTIVE CENTER (LARC),ENCINO,CALIFORNIA,2018,18,17,12,*,10 / 18,* / 17,5 / 12,0 / *,4.9%,8.3%,7.4%,6.3%,,9 / 13,10%,8%,13%,3%,4%,32%,25%,61.8%,65.2%,6 / 14,* / 9
479,WESTERN FERTILITY INSTITUTE,ENCINO,CALIFORNIA,2018,27,27,29,12,63.0%,40.7%,24.1%,* / 12,2.0%,1.7%,3.3%,0.0%,,72.3%,2%,17%,15%,3%,3%,9%,9%,95.9%,98.4%,94.6%,100.0%
480,ZOUVES FERTILITY CENTER,FOSTER CITY,CALIFORNIA,2018,72,78,100,56,47.2%,38.5%,16.0%,16.1%,0.0%,1.4%,1.9%,6.7%,* / 7,35.4%,7%,15%,34%,8%,5%,28%,10%,100.0%,100.0%,98.0%,91.7%
481,WEST COAST FERTILITY CENTER,FOUNTAIN VALLEY,CALIFORNIA,2018,18,16,30,9,12 / 18,8 / 16,16.7%,* / 9,1.4%,6.7%,0.0%,10.0%,0 / *,* / 18,18%,16%,43%,9%,8%,24%,8%,27.5%,47.6%,27.3%,* / 5
482,KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH-FREMONT,FREMONT,CALIFORNIA,2018,283,208,198,87,62.9%,51.0%,29.8%,11.5%,3.0%,3.3%,11.8%,9.5%,,62.8%,9%,17%,50%,3%,3%,24%,5%,25.1%,36.1%,40.0%,36.0%
483,CARE FERTILITY,GLENDALE,CALIFORNIA,2018,81,53,42,18,43.2%,22.6%,23.8%,0 / 18,12.0%,12.3%,8.1%,9.8%,0 / *,7 / 17,19%,11%,20%,2%,1%,16%,22%,34.4%,24.1%,18.8%,5 / 18
484,MARIN FERTILITY CENTER,GREENBRAE,CALIFORNIA,2018,38,34,50,31,65.8%,38.2%,12.0%,3.2%,2.1%,8.1%,5.6%,9.7%,,* / 7,8%,7%,36%,7%,1%,24%,4%,67.3%,78.0%,81.1%,10 / 14
485,"COASTAL FERTILITY MEDICAL CENTER, INC.",IRVINE,CALIFORNIA,2018,34,41,41,14,14.7%,12.2%,12.2%,* / 14,2.7%,3.8%,7.0%,0.0%,0 / *,19.0%,3%,5%,19%,3%,1%,10%,9%,86.0%,87.2%,83.3%,9 / 9
486,FERTILITY CENTER OF SOUTHERN CALIFORNIA,IRVINE,CALIFORNIA,2018,29,17,27,28,72.4%,8 / 17,37.0%,14.3%,1.6%,4.3%,8.2%,8.3%,,10 / 11,13%,10%,40%,16%,6%,20%,8%,73.0%,57.7%,90.6%,6 / 18
487,LIFE IVF CENTER,IRVINE,CALIFORNIA,2018,238,259,395,448,22.7%,12.4%,6.8%,2.5%,7.3%,9.1%,10.1%,10.2%,,59.8%,12%,8%,81%,9%,20%,19%,15%,58.7%,70.3%,68.6%,58.9%
488,REPRODUCTIVE FERTILITY CENTER,IRVINE,CALIFORNIA,2018,110,116,119,62,60.0%,28.4%,20.2%,3.2%,0.4%,0.0%,1.2%,2.3%,* / *,54.4%,9%,2%,41%,2%,3%,26%,18%,75.6%,80.5%,79.2%,84.4%
489,REPRODUCTIVE PARTNERS FERTILITY CENTER-SAN DIEGO,LA JOLLA,CALIFORNIA,2018,75,70,96,54,53.3%,48.6%,22.9%,9.3%,13.8%,11.2%,14.5%,18.5%,* / 8,66.7%,6%,7%,24%,6%,3%,24%,20%,64.4%,73.6%,79.7%,62.5%
490,LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF,LOMA LINDA,CALIFORNIA,2018,54,41,35,11,31.5%,41.5%,11.4%,0 / 11,13.3%,7.0%,16.2%,* / 18,,* / 6,19%,25%,47%,19%,23%,38%,13%,14.9%,12.5%,5 / 17,* / 6
491,CALIFORNIA FERTILITY PARTNERS,LOS ANGELES,CALIFORNIA,2018,83,95,144,160,43.4%,25.3%,18.1%,5.0%,9.6%,11.4%,12.0%,10.9%,* / *,53.8%,6%,4%,51%,6%,23%,18%,83%,89.4%,89.6%,83.9%,75.4%
492,CEDARS SINAI MEDICAL CENTER,LOS ANGELES,CALIFORNIA,2018,22,17,17,9,13.6%,7 / 17,* / 17,* / 9,8.1%,7.1%,2.5%,* / 10,,* / 5,11%,13%,31%,1%,6%,32%,10%,6 / 17,42.9%,10 / 19,* / *
493,CHA FERTILITY CENTER,LOS ANGELES,CALIFORNIA,2018,13,31,21,8,6 / 13,22.6%,4.8%,0 / 8,0.0%,4.0%,6.8%,9.7%,,41.3%,1%,4%,56%,1%,1%,10%,20%,11 / 12,18 / 19,85.0%,10 / 11
494,CMD FERTILITY,LOS ANGELES,CALIFORNIA,2018,17,33,29,13,12 / 17,30.3%,17.2%,* / 13,0.0%,0.0%,0.0%,0.0%,* / *,* / 11,9%,13%,28%,2%,11%,23%,16%,82.1%,13 / 18,62.5%,6 / 8
495,LA IVF CLINIC,LOS ANGELES,CALIFORNIA,2018,0,0,0,0,,,,,1.8%,6.7%,7.8%,4.0%,,28.6%,4%,5%,42%,6%,3%,12%,13%,60.6%,81.8%,69.6%,6 / 8
496,PACIFIC FERTILITY CENTER-LOS ANGELES,LOS ANGELES,CALIFORNIA,2018,19,29,34,13,5 / 19,41.4%,14.7%,0 / 13,0.0%,0.0%,0.0%,0.0%,,59.5%,4%,4%,28%,4%,1%,9%,15%,85.7%,81.8%,82.4%,85.2%
497,UCLA FERTILITY CENTER,LOS ANGELES,CALIFORNIA,2018,29,19,26,11,51.7%,7 / 19,15.4%,* / 11,2.3%,5.1%,6.2%,12.2%,,5 / 11,4%,10%,6%,6%,4%,20%,8%,68.9%,72.7%,95.5%,10 / 16
498,USC FERTILITY,LOS ANGELES,CALIFORNIA,2018,65,83,63,51,43.1%,47.0%,28.6%,15.7%,6.4%,8.4%,14.2%,16.1%,* / 7,42.9%,3%,10%,49%,7%,3%,21%,30%,26.2%,32.1%,20.2%,11.7%
499,CARE FOR THE BAY AREA,LOS GATOS,CALIFORNIA,2018,46,26,34,41,39.1%,19.2%,14.7%,7.3%,2.8%,3.7%,5.8%,4.2%,* / *,* / 11,10%,8%,29%,3%,8%,23%,5%,43.6%,61.5%,68.0%,6 / 10
500,INNOVATIVE FERTILITY CENTER,MANHATTAN BEACH,CALIFORNIA,2018,13,12,13,*,7 / 13,9 / 12,* / 13,* / *,0.0%,0.0%,0.0%,0 / 17,,* / *,2%,0%,20%,2%,1%,19%,10%,* / 11,30.0%,* / 13,* / 5
501,CCRM SAN FRANCISCO,MENLO PARK,CALIFORNIA,2018,6,17,*,5,* / 6,8 / 17,* / *,0 / 5,14.7%,4.3%,10.0%,6.3%,,* / 10,5%,7%,75%,11%,7%,18%,5%,14 / 14,83.3%,9 / 9,* / *
502,THE FERTILITY AND GYNECOLOGY CENTER,MONTEREY,CALIFORNIA,2018,27,14,9,5,37.0%,5 / 14,* / 9,* / 5,3.4%,8.1%,* / 10,* / *,0 / *,0 / *,12%,13%,24%,3%,0%,31%,27%,0 / 16,10.0%,* / 6,
503,NOVA IN VITRO FERTILIZATION,MOUNTAIN VIEW,CALIFORNIA,2018,57,68,55,35,56.1%,44.1%,38.2%,17.1%,0.6%,2.4%,3.4%,5.1%,* / *,56.0%,12%,9%,43%,10%,10%,17%,17%,48.6%,53.5%,53.7%,32.0%
504,HRC FERTILITY-ORANGE COUNTY,NEWPORT BEACH,CALIFORNIA,2018,411,237,267,107,45.5%,36.7%,19.5%,9.3%,3.7%,3.8%,4.2%,11.3%,* / *,57.1%,6%,<1%,36%,4%,7%,28%,44%,90.3%,91.6%,85.3%,87.3%
505,NEWPORT FERTILITY CENTER,NEWPORT BEACH,CALIFORNIA,2018,28,30,19,18,75.0%,56.7%,10 / 19,* / 18,5.4%,6.0%,9.5%,11.9%,,12 / 16,9%,15%,40%,6%,15%,16%,26%,83.3%,80.6%,88.9%,8 / 13
506,OC FERTILITY,NEWPORT BEACH,CALIFORNIA,2018,46,28,31,21,47.8%,42.9%,32.3%,9.5%,2.4%,0.0%,1.5%,2.4%,,9 / 15,7%,12%,5%,7%,15%,18%,12%,92.1%,94.9%,87.5%,81.0%
507,SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,NEWPORT BEACH,CALIFORNIA,2018,78,66,99,47,57.7%,50.0%,41.4%,17.0%,4.0%,4.1%,5.5%,6.2%,,73.0%,8%,6%,39%,4%,6%,30%,93%,100.0%,98.9%,97.7%,100.0%
508,LANE FERTILITY INSTITUTE,NOVATO,CALIFORNIA,2018,11,10,6,10,* / 11,* / 10,* / 6,* / 10,0.0%,0.0%,3.8%,0.0%,* / *,* / 5,0%,1%,22%,7%,0%,11%,14%,9 / 11,8 / 9,7 / 8,12 / 13
509,AMERICAN REPRODUCTIVE CENTERS,PALM SPRINGS,CALIFORNIA,2018,57,50,35,9,47.4%,16.0%,11.4%,* / 9,1.7%,3.4%,2.1%,0 / 12,,* / *,17%,17%,32%,7%,12%,41%,10%,56.5%,* / 9,* / 18,* / *
510,BAY IVF CENTER,PALO ALTO,CALIFORNIA,2018,43,29,24,10,46.5%,48.3%,20.8%,* / 10,3.8%,5.2%,4.8%,0 / 13,* / *,0 / *,25%,26%,50%,5%,6%,21%,7%,20.4%,2.7%,18.5%,0 / 10
511,HRC FERTILITY-PASADENA,PASADENA,CALIFORNIA,2018,537,339,369,224,42.5%,30.4%,15.4%,8.5%,4.9%,6.4%,5.5%,9.9%,,56.3%,2%,1%,42%,1%,4%,13%,38%,81.2%,78.1%,80.6%,78.8%
512,"UNITY FERTILITY CENTER, LLC",PASADENA,CALIFORNIA,2018,0,0,0,0,,,,,5 / 16,* / 10,5 / 12,6 / 13,,* / *,0%,17%,71%,0%,2%,25%,0%,* / 6,0 / *,0 / *,0 / *
513,"REPRODUCTIVE PARTNERS-BEVERLY HILLS, REDONDO BEACH & WESTMINSTER",REDONDO BEACH,CALIFORNIA,2018,207,217,239,133,47.8%,29.0%,23.4%,13.5%,11.0%,12.1%,14.1%,14.7%,50.0%,45.6%,4%,7%,19%,3%,3%,13%,19%,65.4%,65.9%,55.1%,55.6%
514,NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,ROSEVILLE,CALIFORNIA,2018,170,115,96,29,58.2%,44.3%,27.1%,10.3%,2.5%,5.2%,4.7%,2.5%,,53.7%,14%,17%,23%,10%,4%,42%,54%,26.5%,35.0%,68.2%,56.8%
515,CALIFORNIA IVF FERTILITY CENTER,SACRAMENTO,CALIFORNIA,2018,63,40,34,13,60.3%,40.0%,23.5%,* / 13,1.1%,3.8%,4.9%,3.5%,,49.7%,7%,9%,25%,8%,5%,37%,39%,21.7%,20.8%,35.0%,20.0%
516,KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH-SACRAMENTO,SACRAMENTO,CALIFORNIA,2018,142,113,59,23,71.8%,50.4%,27.1%,21.7%,1.4%,1.8%,3.5%,4.6%,,40.0%,13%,17%,23%,5%,6%,35%,26%,8.0%,11.9%,28.6%,25.6%
517,FERTILITY SPECIALISTS MEDICAL GROUP,SAN DIEGO,CALIFORNIA,2018,101,65,68,27,38.6%,33.8%,4.4%,3.7%,4.9%,6.0%,10.3%,13.7%,* / 11,28.8%,14%,11%,38%,2%,13%,44%,10%,55.0%,51.2%,55.9%,47.1%
518,NAVAL MEDICAL CENTER SAN DIEGO INFERTILITY CLINIC,SAN DIEGO,CALIFORNIA,2018,74,36,19,*,37.8%,38.9%,5 / 19,0 / *,1.6%,0.0%,4.8%,0 / 6,,,23%,4%,6%,5%,0%,25%,0%,2.6%,0 / 12,0 / 10,0 / *
519,REPRODUCTIVE SCIENCES MEDICAL CENTER,SAN DIEGO,CALIFORNIA,2018,89,70,57,41,22.5%,21.4%,10.5%,4.9%,8.2%,8.7%,7.3%,7.8%,0 / *,50.0%,0%,0%,0%,0%,0%,5%,0%,1.1%,0.0%,0.0%,0.0%
520,SAN DIEGO FERTILITY CENTER,SAN DIEGO,CALIFORNIA,2018,185,146,131,82,58.9%,36.3%,26.0%,8.5%,7.9%,11.7%,12.3%,18.3%,5 / 9,62.1%,10%,10%,48%,5%,15%,25%,<1%,45.5%,62.5%,65.9%,45.3%
521,LAUREL FERTILITY CARE,SAN FRANCISCO,CALIFORNIA,2018,67,45,46,18,52.2%,46.7%,15.2%,* / 18,4.5%,5.5%,6.4%,6.4%,* / 10,5 / 16,6%,9%,20%,2%,4%,11%,6%,32.5%,65.5%,47.6%,77.3%
522,PACIFIC FERTILITY CENTER,SAN FRANCISCO,CALIFORNIA,2018,150,121,155,77,50.7%,38.0%,23.2%,19.5%,3.3%,8.6%,9.6%,13.5%,,44.0%,6%,10%,46%,5%,8%,23%,38%,83.8%,82.3%,86.4%,77.3%
523,REPRODUCTIVE MEDICINE ASSOCIATES OF NORTHERN CALIFORNIA,SAN FRANCISCO,CALIFORNIA,2018,0,0,0,0,,,,,0 / *,0 / *,0 / *,0 / *,,,20%,10%,50%,0%,0%,20%,10%,,,,
524,SPRING FERTILITY,SAN FRANCISCO,CALIFORNIA,2018,96,87,74,40,76.0%,66.7%,51.4%,30.0%,1.7%,2.3%,2.6%,5.1%,,60.0%,3%,4%,<1%,3%,2%,10%,63%,82.8%,86.6%,80.3%,63.6%
525,UCSF CENTER FOR REPRODUCTIVE HEALTH,SAN FRANCISCO,CALIFORNIA,2018,252,317,391,243,46.4%,35.3%,22.5%,11.9%,6.3%,7.7%,12.9%,11.2%,8 / 17,49.5%,4%,5%,39%,3%,2%,17%,10%,34.6%,40.1%,42.5%,29.8%
526,PALO ALTO MEDICAL FOUNDATION,SAN JOSE,CALIFORNIA,2018,144,126,96,57,54.2%,40.5%,31.3%,17.5%,7.4%,7.6%,12.5%,11.4%,7 / 11,44.1%,9%,11%,26%,8%,2%,24%,11%,18.1%,13.7%,11.9%,13.7%
527,"ALEX STEINLEITNER, MD, INC.",SAN LUIS OBISPO,CALIFORNIA,2018,0,0,0,0,,,,,9.5%,14.9%,10.4%,* / 18,,* / *,9%,7%,13%,9%,13%,39%,3%,6.6%,7.8%,9.7%,* / 6
528,REPRODUCTIVE SCIENCE CENTER OF THE SAN FRANCISCO BAY AREA,SAN RAMON,CALIFORNIA,2018,354,297,234,98,63.8%,49.2%,31.6%,19.4%,8.2%,13.5%,13.3%,17.6%,67.4%,53.6%,7%,12%,32%,5%,6%,23%,63%,43.7%,50.0%,67.2%,60.0%
529,SANTA BARBARA FERTILITY CENTER,SANTA BARBARA,CALIFORNIA,2018,25,18,25,11,52.0%,8 / 18,16.0%,0 / 11,5.0%,5.6%,14.7%,7.4%,0 / *,* / 7,5%,6%,35%,3%,8%,23%,16%,21.4%,11.1%,25.6%,* / 17
530,SANTA MONICA FERTILITY,SANTA MONICA,CALIFORNIA,2018,5,*,7,*,5 / 5,* / *,* / 7,* / *,0.0%,0.0%,2.0%,1.8%,6 / 9,67.2%,1%,2%,7%,1%,1%,10%,56%,6 / 7,* / 13,15.0%,23.5%
531,"ADVANCED FERTILITY ASSOCIATES MEDICAL GROUP, INC.",SANTA ROSA,CALIFORNIA,2018,26,22,22,10,61.5%,40.9%,45.5%,* / 10,4.0%,2.4%,5.1%,* / 17,,* / 9,19%,5%,56%,3%,4%,34%,5%,2.4%,11.4%,3.1%,0 / 15
532,"VALLEY CENTER FOR REPRODUCTIVE HEALTH, INC.",SHERMAN OAKS,CALIFORNIA,2018,13,7,13,11,* / 13,* / 7,8 / 13,* / 11,5.0%,12.9%,0.0%,0 / 13,* / *,* / 6,9%,9%,23%,7%,2%,31%,24%,5 / 9,5 / 11,10 / 12,8 / 10
533,STANFORD MEDICINE FERTILITY & REPRODUCTIVE HEALTH,SUNNYVALE,CALIFORNIA,2018,161,142,156,90,44.1%,33.1%,24.4%,5.6%,9.2%,10.8%,9.4%,15.2%,* / 8,23.7%,4%,6%,31%,3%,4%,19%,29%,54.8%,72.7%,67.4%,60.0%
534,THE CENTER FOR FERTILITY AND GYNECOLOGY,TARZANA,CALIFORNIA,2018,48,38,43,27,60.4%,50.0%,14.0%,22.2%,1.1%,3.9%,7.1%,2.4%,* / *,65.8%,8%,6%,42%,1%,1%,21%,67%,60.5%,51.1%,80.8%,14 / 19
535,TREE OF LIFE CENTER FOR FERTILITY,TARZANA,CALIFORNIA,2018,*,*,*,*,* / *,* / *,0 / *,0 / *,0.0%,0.0%,0 / 15,* / 9,* / *,7 / 10,8%,2%,23%,3%,2%,16%,32%,5 / 10,* / 10,6 / 9,* / *
536,FERTILITY AND SURGICAL ASSOCIATES OF CALIFORNIA,THOUSAND OAKS,CALIFORNIA,2018,128,119,165,86,56.3%,41.2%,20.6%,10.5%,4.0%,7.1%,7.4%,14.0%,0 / *,47.9%,10%,6%,41%,6%,8%,16%,30%,90.3%,87.4%,90.5%,80.6%
537,PACIFIC REPRODUCTIVE CENTER,TORRANCE,CALIFORNIA,2018,97,67,60,27,50.5%,28.4%,28.3%,7.4%,4.0%,2.0%,4.3%,7.1%,,9 / 13,9%,9%,34%,3%,3%,37%,6%,25.0%,22.0%,22.2%,5 / 15
538,UNIVERSITY FERTILITY CENTER,TORRANCE,CALIFORNIA,2018,54,30,40,31,44.4%,40.0%,20.0%,6.5%,3.3%,2.2%,3.6%,7.7%,,5 / 16,12%,9%,13%,4%,4%,12%,23%,32.8%,25.5%,20.8%,40.0%
539,CALIFORNIA CENTER FOR REPRODUCTIVE HEALTH,WEST HOLLYWOOD,CALIFORNIA,2018,95,79,123,68,45.3%,39.2%,22.0%,10.3%,3.8%,8.7%,7.4%,14.7%,* / *,10 / 17,7%,7%,33%,3%,2%,23%,70%,40.3%,45.8%,46.0%,34.4%
540,MAGARELLI FERTILITY,COLORADO SPRINGS,COLORADO,2018,110,40,41,9,31.8%,27.5%,14.6%,* / 9,0.0%,2.4%,4.0%,0 / 18,,5 / 12,9%,18%,11%,3%,1%,42%,11%,81.4%,76.9%,19 / 19,5 / 8
541,ADVANCED REPRODUCTIVE MEDICINE,DENVER,COLORADO,2018,74,21,27,*,55.4%,52.4%,48.1%,0 / *,11.3%,9.4%,6.4%,* / 9,* / 8,6 / 14,13%,10%,20%,2%,1%,30%,9%,40.9%,53.7%,68.4%,* / 7
542,COLORADO REPRODUCTIVE ENDOCRINOLOGY,DENVER,COLORADO,2018,31,17,17,6,35.5%,* / 17,* / 17,0 / 6,21.8%,6.9%,5.0%,0 / 5,,* / 6,13%,25%,43%,5%,5%,16%,12%,21.7%,* / 18,* / 12,* / *
543,DENVER FERTILITY-ALBRECHT WOMEN'S CARE,ENGLEWOOD,COLORADO,2018,34,18,21,5,35.3%,* / 18,9.5%,0 / 5,1.9%,11.7%,9.7%,* / 10,,* / 19,9%,15%,42%,8%,4%,28%,7%,40.9%,66.7%,11 / 14,* / *
544,ROCKY MOUNTAIN FERTILITY CENTER,ENGLEWOOD,COLORADO,2018,39,16,17,*,64.1%,8 / 16,5 / 17,0 / *,5.1%,3.3%,13.3%,0 / 8,,* / *,10%,7%,42%,7%,1%,26%,1%,59.6%,8 / 15,7 / 18,* / *
545,ROCKY MOUNTAIN CENTER FOR REPRODUCTIVE MEDICINE,FORT COLLINS,COLORADO,2018,32,17,*,*,78.1%,6 / 17,0 / *,* / *,0.0%,* / 17,* / 12,0 / *,,0 / *,11%,28%,28%,5%,1%,19%,3%,0.0%,0 / 14,0 / 7,0 / *
546,CONCEPTIONS REPRODUCTIVE ASSOCIATES OF COLORADO,LITTLETON,COLORADO,2018,268,119,112,39,53.4%,52.1%,30.4%,15.4%,2.7%,4.0%,6.1%,6.3%,0 / *,66.3%,10%,19%,38%,7%,5%,20%,8%,93.9%,92.6%,90.3%,86.5%
547,COLORADO CENTER FOR REPRODUCTIVE MEDICINE,LONE TREE,COLORADO,2018,424,333,396,209,63.9%,48.3%,34.1%,20.1%,1.3%,1.6%,3.7%,4.5%,7 / 13,64.2%,6%,9%,40%,8%,10%,25%,48%,72.2%,81.3%,85.9%,85.4%
548,CENTER FOR ADVANCED REPRODUCTIVE SERVICES,FARMINGTON,CONNECTICUT,2018,362,235,250,142,57.2%,47.2%,23.2%,13.4%,5.6%,9.4%,12.4%,14.0%,48.8%,60.7%,11%,18%,12%,11%,9%,31%,16%,14.0%,18.2%,34.5%,16.9%
549,"GREENWICH FERTILITY AND IVF CENTER, PC",GREENWICH,CONNECTICUT,2018,93,86,62,60,52.7%,44.2%,38.7%,13.3%,5.0%,8.7%,8.6%,13.2%,7 / 10,35.7%,7%,5%,30%,2%,2%,18%,11%,48.4%,65.3%,78.5%,14 / 18
550,YALE FERTILITY CENTER,NEW HAVEN,CONNECTICUT,2018,129,103,95,49,62.8%,39.8%,20.0%,12.2%,7.7%,16.8%,8.5%,10.4%,* / 7,50.0%,12%,14%,32%,7%,6%,20%,13%,10.3%,14.1%,17.8%,16.2%
551,REPRODUCTIVE MEDICINE ASSOCIATES OF CONNECTICUT,NORWALK,CONNECTICUT,2018,265,170,221,125,54.7%,37.1%,17.2%,7.2%,6.7%,8.2%,11.4%,14.3%,* / 10,68.8%,10%,13%,37%,7%,10%,19%,68%,42.7%,57.7%,57.1%,76.3%
552,NEW ENGLAND FERTILITY INSTITUTE,STAMFORD,CONNECTICUT,2018,25,10,44,14,48.0%,* / 10,6.8%,* / 14,8.7%,3.5%,8.0%,3.3%,0 / *,42.0%,<1%,9%,40%,2%,4%,4%,28%,40.0%,57.9%,47.2%,66.7%
553,PARK AVENUE FERTILITY AND REPRODUCTIVE MEDICINE,TRUMBULL,CONNECTICUT,2018,44,34,42,16,59.1%,29.4%,19.0%,* / 16,12.2%,5.9%,11.9%,6 / 18,,44.0%,12%,3%,31%,2%,1%,21%,5%,14.9%,12.5%,30.3%,* / 7
554,"DELAWARE INSTITUTE FOR REPRODUCTIVE MEDICINE, PA",NEWARK,DELAWARE,2018,76,35,40,14,26.3%,11.4%,12.5%,0 / 14,9.0%,7.8%,9.4%,14.7%,,* / 12,27%,2%,15%,23%,<1%,10%,24%,51.6%,83.8%,66.7%,65.0%
555,RADFERTILITY,NEWARK,DELAWARE,2018,119,72,44,25,61.3%,38.9%,34.1%,20.0%,5.5%,7.6%,7.4%,20.0%,* / 7,46.7%,35%,21%,28%,41%,52%,38%,6%,52.7%,65.8%,73.5%,47.6%
556,COLUMBIA FERTILITY ASSOCIATES,WASHINGTON,DISTRICT OF COLUMBIA,2018,91,89,113,64,33.0%,23.6%,19.5%,4.7%,6.1%,8.3%,6.9%,16.1%,0 / *,61.9%,4%,15%,22%,3%,2%,26%,43%,24.7%,31.8%,34.7%,23.1%
557,GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOCIATES,WASHINGTON,DISTRICT OF COLUMBIA,2018,61,65,60,27,27.9%,33.8%,18.3%,11.1%,6.6%,11.5%,10.9%,14.3%,* / 14,* / 8,4%,11%,25%,2%,1%,19%,16%,18.8%,8.3%,23.0%,20.0%
558,BOCAFERTILITY,BOCA RATON,FLORIDA,2018,29,15,22,8,44.8%,6 / 15,31.8%,0 / 8,5.5%,2.3%,4.4%,0.0%,,35.9%,12%,53%,57%,6%,5%,31%,6%,23.6%,* / 18,13.6%,* / 15
